commit,seed,st3_macro_f1,st3_family_macro_f1,f1_age_restricted_or_prohibited_product,f1_direct_exhortation,f1_hfss_food_marketing,f1_inadequate_disclosure,f1_insufficient_context,f1_misleading_claim,f1_no_flag,f1_undisclosed_advertising,fam_content,fam_disclosure,fam_housekeeping,fam_product,status,description
0177dec,42,0.208,0.304,0.000,0.410,0.000,0.000,0.286,0.246,0.369,0.350,0.429,0.345,0.442,0.000,keep,"VARIANCE CHECK repeat #2 of the true baseline (0177dec, pre-exp3/exp4; run via --df-path pointed at a temp copy of the baseline dialog-flow content, working tree left untouched). Baseline st3_macro_f1 samples: {0.248, 0.208}, mean=0.228."
4896935,42,0.270,0.422,0.250,0.250,0.000,0.190,0.276,0.487,0.386,0.324,0.571,0.429,0.535,0.154,discard,"exp5 re-check repeat #2/3 (per user request to properly multi-run-average before trusting single-sample verdicts). Run via --df-path pointed at a temp copy of exp5's dialog-flow content (4896935), working tree untouched."
4896935,42,0.272,0.408,0.286,0.312,0.000,0.091,0.258,0.394,0.475,0.359,0.512,0.441,0.511,0.167,discard,"exp5 re-check repeat #3/3. Full exp5 sample set: st3_macro_f1={0.248,0.270,0.272}, mean=0.263, std~=0.011 (tight -- the original single 0.248 reading was the unlucky low draw). Compare to exp4's mean=0.280 (n=3): exp5 is close but still consistently a notch below, so the verdict flips from 'clear-looking discard' to 'discard, but now for a real (if small) reason' rather than being noise-driven. Simplicity note: exp5 is the leaner prompt (no worked example) for a mean cost of -0.017 macro-F1 -- a defensible trade under program.md's simplicity criterion if the gap were smaller, but 0.017 with std~0.01 looks like a real, small, consistent gap, so exp4's extra clause earns its keep."
d3dd64a,42,0.210,0.344,0.000,0.242,0.000,0.000,0.316,0.469,0.327,0.328,0.526,0.416,0.432,0.000,discard,"exp6 re-check repeat #2/3."
d3dd64a,42,0.217,0.344,0.250,0.067,0.000,0.087,0.333,0.482,0.214,0.300,0.500,0.447,0.297,0.133,discard,"exp6 re-check repeat #3/3. Full exp6 sample set: st3_macro_f1={0.272,0.210,0.217}, mean=0.233, std~=0.028. This CONFIRMS the original discard, and more strongly than the single sample suggested (0.272 was actually exp6's high outlier, not representative) -- mean 0.233 sits right at baseline's mean (0.228), i.e. the undisclosed_advertising/inadequate_disclosure anchor addition erased essentially all of exp3+exp4's gain on average, consistent 3/3 runs below exp4's floor (0.238). High confidence discard.

SYNTHESIS after multi-run averaging (n=3 each unless noted): baseline mean=0.228 (n=2) < exp6 mean=0.233 (n=3, ~=baseline) < exp5 mean=0.263 (n=3) < exp4 mean=0.280 (n=3, CURRENT BEST, branch tip 9473e61/0e493e0-equivalent). Ranking is now stable and the earlier 'inconclusive' flags on exp5/exp6 are resolved: exp5 is a real but small regression vs exp4, exp6 is a real and larger regression that averages out close to baseline. Continuing the loop with 3-run averaging as standard protocol from here."
8c37ff8,42,0.248,0.397,0.286,0.333,0.000,0.087,0.231,0.411,0.414,0.222,0.518,0.444,0.500,0.125,discard,"exp8 run 1/3: anchor inadequate_disclosure clause only (unclear-to-a-child examples: single/brief mention, buried in description, generic legal/affiliate boilerplate with no plain-language sponsor statement), undisclosed_advertising clause left byte-identical to exp4 to isolate the effect after exp6's combined-clause failure."
8c37ff8,42,0.281,0.384,0.286,0.240,0.000,0.160,0.300,0.550,0.361,0.353,0.558,0.366,0.444,0.167,discard,"exp8 run 2/3."
8c37ff8,42,0.240,0.360,0.000,0.222,0.000,0.250,0.240,0.487,0.421,0.298,0.506,0.471,0.463,0.000,discard,"exp8 run 3/3. Full set: st3_macro_f1={0.248,0.281,0.240}, mean=0.256 vs exp4 mean=0.280 -- discard. inadequate_disclosure DID improve as intended (mean 0.132->0.166) but direct_exhortation fell (mean 0.387->0.265) despite its own clause text being untouched -- same non-local pattern as exp2/exp7, now confirmed under averaging rather than a single noisy sample: editing this node's total shape/length reshuffles attention across labels whose text didn't change, regardless of which specific clause was edited. This node looks like it's at a local optimum around exp4's exact text; further clause-level tweaks here are a low-probability bet. Reverted in commit c31a36b."
0e493e0,42,0.216,0.349,0.000,0.308,0.000,0.000,0.400,0.373,0.371,0.279,0.478,0.467,0.450,0.000,discard,"exp9 run 1/3: pure param change, --few-shot-n 2 (default 1) on top of exp4's prompt content -- no src/prompt edit, just a richer 2nd exemplar per FEW_SHOT_LABELS. commit is still 0e493e0 since no file changed."
0e493e0,42,0.290,0.421,0.000,0.195,0.000,0.111,0.667,0.525,0.453,0.372,0.538,0.441,0.524,0.182,discard,"exp9 run 2/3."
0e493e0,42,0.249,0.344,0.000,0.270,0.000,0.105,0.500,0.432,0.427,0.256,0.489,0.429,0.460,0.000,discard,"exp9 run 3/3. Full set: st3_macro_f1={0.216,0.290,0.249}, mean=0.252 vs exp4(--few-shot-n 1) mean=0.280 -- discard, revert to --few-shot-n 1. insufficient_context jumped a lot (mean 0.310->0.522, presumably the 2nd exemplar sharpens that boundary) but age_restricted_or_prohibited_product dropped to 0.000 in all 3 runs (was mean 0.244) and direct_exhortation fell (mean 0.387->0.258). Net negative on the primary KPI; the extra few-shot tokens appear to reallocate attention away from the Product Risk / direct_exhortation checks, same broad-reshuffling pattern seen with node-text edits, now shown to extend to prompt-length changes from few-shot params too."

,,,,,,,,,,,,,,,,,"INTERIM SYNTHESIS after 9 experiments: exp4 0.280 (BEST at that point) > exp5 0.263 > exp9(fewshot-n=2) 0.252 > exp8 0.256 > exp6 0.233 ~= baseline 0.228 (n=2) > exp2 0.113 > exp1 0.199. Every attempt to improve on exp4 by further editing the Disclosure-and-Claims node (exp5,6,8) or the few-shot params (exp9) made the primary KPI worse on average via the same non-local pattern: touching this node's total shape reshuffles per-label attention broadly. Continued in exp10 below at user's request (per-label few-shot n boosts, solo-first-then-any selection)."
6c9678d,42,0.271,0.352,0.500,0.229,0.000,0.125,0.500,0.190,0.368,0.255,0.346,0.387,0.452,0.222,discard,"exp10 run 1/3: FEW_SHOT_LABELS extended to 6 (added age_restricted_or_prohibited_product, hfss_food_marketing, undisclosed_advertising), with FEW_SHOT_N_OVERRIDES giving n=2 to the 4 worst performers (inadequate_disclosure, age_restricted, hfss, undisclosed_advertising) via a solo-exemplar-first-then-any selection rule. direct_exhortation left at n=1."
6c9678d,42,0.256,0.338,0.400,0.312,0.000,0.125,0.286,0.246,0.442,0.238,0.354,0.281,0.495,0.222,discard,"exp10 run 2/3."
6c9678d,42,0.266,0.406,0.222,0.370,0.286,0.000,0.250,0.129,0.424,0.444,0.324,0.517,0.473,0.308,discard,"exp10 run 3/3. Full set: st3_macro_f1={0.271,0.256,0.266}, mean=0.264 vs exp4 mean=0.280 -- discard, net negative. Mixed picture on targets: age_restricted improved a lot (mean 0.244->0.374), undisclosed_advertising flat/slightly up (0.302->0.312), hfss ticked up off zero (0.000->0.095, still noisy at gold=2) -- but inadequate_disclosure, the #1 target, got WORSE (0.132->0.083) despite its dedicated 2nd exemplar. Bigger problem: misleading_claim (untouched, not a target) COLLAPSED (mean 0.479->0.188, pred count back to 5-8 out of gold=57, same magnitude as pre-exp3 baseline) while no_flag over-fired hard (pred 52-62 vs gold=24, previously ~30-40). The enlarged few-shot section (2685 chars vs ~1200 before, 6 labels' definitions+quotes vs 3) appears to crowd out attention that exp3's dialog-flow-node misleading_claim anchors depend on, even though the few-shot section and that node are textually separate parts of the prompt. Reverted to exp4 content. Before fully abandoning this direction, testing exp11: bump ONLY inadequate_disclosure to n=2 (no new labels added) to isolate whether the damage comes from few-shot section GROWTH in general or specifically from adding the 3 new product-risk/disclosure labels."
8bae38f,42,0.199,0.319,0.000,0.222,0.000,0.000,0.216,0.405,0.458,0.292,0.488,0.294,0.494,0.000,discard,"exp11 run 1/3: isolated exp10 -- FEW_SHOT_LABELS back to the original 3, FEW_SHOT_N_OVERRIDES={inadequate_disclosure:2} only, no new labels added. Keeps the solo-first-then-any selection code."
8bae38f,42,0.271,0.409,0.286,0.364,0.000,0.182,0.258,0.421,0.333,0.327,0.533,0.466,0.456,0.182,discard,"exp11 run 2/3."
8bae38f,42,0.223,0.338,0.000,0.389,0.000,0.095,0.250,0.462,0.360,0.231,0.505,0.382,0.463,0.000,discard,"exp11 run 3/3. Full set: st3_macro_f1={0.199,0.271,0.223}, mean=0.231 vs exp4 mean=0.280 -- discard, net negative and worse than exp10's mean (0.264). Crucially: inadequate_disclosure itself -- the sole target of this isolated change -- got WORSE (mean 0.132->0.092), not better, confirming exp10's result wasn't a fluke of combining too many changes at once: a 2nd few-shot exemplar for inadequate_disclosure hurts inadequate_disclosure specifically, on its own, isolated from every other variable. Useful isolation result though: misleading_claim held up much better here (mean 0.429) than in exp10 (mean 0.188), so exp10's severe misleading_claim collapse was specifically caused by adding the 3 new labels (age_restricted/hfss/undisclosed_advertising), not by few-shot section growth in general. Reverted FEW_SHOT_N_OVERRIDES to {} in commit cb3cf3b (kept the generalized solo-first-then-any machinery, unused/inert at n=1). Branch tip back to exp4-equivalent behavior."

,,,,,,,,,,,,,,,,,"FINAL SYNTHESIS (11 experiments, ~33 eval calls total, n=3 averaging from exp5-recheck onward): exp4 (mean 0.280, branch tip cb3cf3b / behaviorally equivalent to 0e493e0) remains the best config found. Ranked: exp4 0.280 > exp5 0.263 > exp10 0.264 ~= exp8 0.256 > exp9 0.252 > exp11 0.231 ~= exp6 0.233 ~= baseline 0.228 > exp2 0.113 > exp1 0.199(unseeded-era). CONCLUSION on 'give worst labels more few-shot examples': tested both narrowly (exp11: inadequate_disclosure alone, n=1->2) and broadly (exp10: 4 labels boosted + 3 new label sections added), using the requested solo-exemplar-first-then-any-after selection rule in both cases. Neither helped; both regressed st3_macro_f1, and in BOTH cases the specific label being boosted got WORSE, not better (inadequate_disclosure: 0.132->0.083 broad, 0.132->0.092 narrow). Only in the broad version did unrelated labels improve (age_restricted, undisclosed_advertising) enough to be individually interesting, but always at misleading_claim's expense when new label sections were added. Reading: on gpt-5.4-nano at this prompt's scale, this task's few-shot section behaves as a shared, competitive attention budget rather than additive per-label signal -- more examples for a weak label doesn't reliably sharpen the model's boundary for that label, and can dilute it further, while definitely diluting other labels' signal when the section grows. The one lever that DID work for a weak label (exp3, misleading_claim; exp8's partial win on inadequate_disclosure before its direct_exhortation cost) was anchoring the flag's definition directly in the dialog-flow node text with concrete positive examples, not adding more few-shot exemplars. Recommend: if pursuing inadequate_disclosure further, revisit exp8's node-anchor approach combined with a compensating fix for its direct_exhortation cost, rather than more few-shot work."
