commit,test_mean_macro_f1,test_st1_macro_f1,test_st2_macro_f1,test_st3_macro_f1,test_st3_family_macro_f1,dev_mean_macro_f1,dev_st1_macro_f1,dev_st2_macro_f1,dev_st3_macro_f1,dev_st3_family_macro_f1,model,status,description
1803daf,0.000,0.000,0.000,0.001,0.082,0.004,0.002,0.001,0.008,0.110,Qwen/Qwen3-0.6B,discard,"exp10: --peft-method prompt_tuning --num-virtual-tokens 20 --pos-weight, matched epochs=2, split_seed=309780458. Essentially total failure across the board: dev mean_macro_f1=0.004, test=0.000 -- near-zero on every subtask, not just st3. Only 8,192 trainable params (0.0014%% of the model, vs LoRA's default 1.15M/0.19%%) is nowhere near enough capacity to learn this structured-JSON-generation task in 2 epochs/1853 examples -- prompt-tuning is known in the literature to need far more training (often 100+ epochs, or much larger virtual-token counts, or bigger base models) to approach LoRA's quality; this isn't a bug, just an expected mismatch between method and training budget at this scale. Not pursuing further prompt-tuning runs at this budget -- would need a fundamentally larger compute allocation (many more epochs) to get a fair read, which isn't a good trade against this being a low-cost proxy environment. LoRA remains the standing PEFT method."
dd7f95e,0.000,0.000,0.000,0.000,0.115,0.000,0.000,0.000,0.000,0.115,microsoft/Phi-4-mini-instruct,discard,"mini-baseline: microsoft/Phi-4-mini-instruct, --target-modules qkv_proj (Phi3 fuses q/k/v into one matrix, verified via subagent investigation), --sample-size 100 --test-holdout 20 --epochs 1, split_seed=2097561726. Pipeline plumbing confirmed working end-to-end: model loads (no trust_remote_code needed), qkv_proj LoRA target resolves and injects cleanly (2.1M trainable params), chat template renders correctly, generations parse as valid JSON. But dev/test mean_macro_f1=0.000 -- every single prediction (checked submission.jsonl and test_submission.jsonl directly) came back byte-for-byte identical: {""st1"":""other"",""st2"":[],""st3"":[""insufficient_context""]}, regardless of input. This is mode collapse to a constant output from having only 100 train examples for 1 epoch on a totally novel structured-JSON task for this base model -- not a pipeline bug, just too little training to be informative. This scale (100/1 epoch) confirms the pipeline works but is NOT large enough to give a real rough-performance read; would need a bigger --sample-size and/or more epochs for a meaningful mini-baseline number."
dd7f95e,0.418,0.427,0.471,0.356,0.417,0.562,0.649,0.557,0.480,0.545,principled-intelligence/gemma-4-E2B-it-text-only,keep,"mini-baseline: gemma-4-E2B-it-text-only (~4.6B params), --target-modules q_proj,o_proj (verified full 35/35-layer coverage; default q_proj,v_proj would silently only adapt v_proj on 15/35 layers due to num_kv_shared_layers=20 -- 20 layers share k/v from an earlier layer and have no local v_proj module at all). First attempt at --max-length 4096 (script default) OOM'd mid-epoch (step 22/100): gemma's 262144-token vocab is ~1.7x Qwen's, so the batch*seq_len*vocab logits tensor is much larger, and a long training example combined with the full 23GB GPU pushed past capacity. Retried with --max-length 2048 + PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True, succeeded. --sample-size 100 --test-holdout 20 --epochs 1, split_seed=1844212737. Result is striking: dev mean_macro_f1=0.562, test=0.418 -- a real, discriminating signal (not mode collapse) from only 100 training examples / 1 epoch, in the same ballpark as the Qwen3-0.6B track's full-scale (1853-example, multi-epoch) baselines. Plausibly reflects gemma-4-E2B's much larger base model (4.6B vs Qwen's 0.6B, ~8x) being far more sample-efficient at this task. Caveat: n=100 dev / n=20 test is a tiny, high-variance sample (this number should NOT be treated as comparable in precision to the Qwen track's 504-dev/500-test runs) -- promising enough to warrant a proper full-scale run, not yet a confirmed result. Keeping as a positive initial signal."
dd7f95e,0.007,0.007,0.006,0.009,0.098,0.004,0.003,0.004,0.005,0.105,principled-intelligence/gemma-4-E2B-it-text-only,discard,"full-scale gemma-4-E2B: full train (1853) / dev (504), epochs=2, --target-modules q_proj,o_proj, --max-length 2048 (reduced from default 4096 to avoid the OOM seen in the n=100 mini-baseline's first attempt), split_seed=368834301. Near-total collapse: dev/test mean_macro_f1 ~0.004-0.007. CORRECTED diagnosis after direct inspection (an earlier read of this as 'mode collapse to a fixed wrong answer' was wrong): every single prediction is byte-identical to lora_generative.py's hardcoded parse-failure fallback ({""st1"":""other"",""st2"":[],""st3"":[""insufficient_context""]}, which is literally what sanitize_st3([]) returns -- an empty list is falsy in Python). Loaded the trained adapter directly and generated on raw dev examples: the model outputs ONLY '<eos>', zero content tokens, for every input -- true generation collapse, not a wrong-but-coherent answer. Ruled out: (1) truncation -- max_length=2048 gives 461 segment-text tokens, tight (p50 segment is ~1182) but not degenerate/empty; (2) a label-construction bug -- directly inspected GenerativeDataset's built labels for gemma's tokenizer on a real example, supervised span decodes to the exact correct JSON+eos, no issue. Training loss dropped from 0.55 (epoch1) to 0.10 (epoch2) -- low but not NaN/diverging by that metric -- yet dev was ALREADY fully collapsed at the end of epoch 1 (0.003), not something that developed between epochs. This points to genuine training instability from sustained high-LR (2e-4, same as Qwen's tuned default) over ~463 steps/epoch -- the n=100 mini-baseline that worked (dev=0.562) only saw ~25 total steps, never enough exposure to reach whatever step count this collapse sets in around. Next: retry at a much lower --lr to test this directly."
2595582,0.586,0.529,0.678,0.549,0.687,0.605,0.539,0.668,0.608,0.721,Qwen/Qwen3-0.6B,keep,"context-sweep 1/4: --context transcript (Level 1 only -- just the transcript text, no video metadata, no product page at all), matched epochs=2, --pos-weight, split_seed=1260877750, otherwise standing recipe. Best dev at epoch 2 = 0.605, test=0.586 -- notably small dev/test gap (0.019, among the smallest seen in this track) and a strong st3 result (dev=0.608/test=0.549, one of the best st3 scores of any experiment so far). Also much cheaper: ~28min total (14:50-15:18) vs ~55-70min for full-context runs -- shorter prompts train and generate() faster. First data point in a --context sweep (transcript/no_product_page/st2_page/full) testing the paper's own accuracy-vs-cost framing (Data Access Levels). Keeping as a genuinely strong, cheap result -- surprising that dropping ALL video/product context doesn't hurt (and may help st3/generalization) relative to full-context runs, though cross-run noise (~0.2 floor) means this needs the other 3 context levels for a fair comparison before drawing conclusions."
9e8946a,n/a,n/a,n/a,0.200,0.344,n/a,n/a,n/a,0.201,0.402,Qwen/Qwen3-0.6B,keep,"context-sweep 1/4 (RE-RUN post leakage-fix, commit 9e8946a): --context transcript --st3-only, matched epochs=2, --pos-weight, split_seed=487509613. st1/st2 columns are n/a (--st3-only mode: st1/st2 are a fixed placeholder, mean_macro_f1 is not meaningful, best-checkpoint selection uses st3_macro_f1). REAL dev st3_macro_f1=0.201 (epoch2), test=0.200 -- extremely close dev/test agreement, a good sign of a clean measurement now. Compare to the PRE-FIX transcript-context row (commit 2595582, this same context level, full st1/st2/st3 completion, not st3-only): that row reported dev st3=0.608/test=0.549 -- roughly 3x higher than this genuine number. This is the leakage bug's actual measured impact on st3 specifically. ALL commit hashes before 9e8946a in this file are known-invalid (see feedback_eval_leakage_bug memory) -- this is the first trustworthy data point in the context sweep."
9e8946a,n/a,n/a,n/a,0.196,0.345,n/a,n/a,n/a,0.219,0.363,Qwen/Qwen3-0.6B,keep,"context-sweep 2/4: --context no_product_page --st3-only, matched epochs=2, --pos-weight, split_seed=207367891. dev st3=0.219 (epoch2)/test=0.196 -- essentially flat vs context-sweep 1/4's transcript-only result (dev=0.201/test=0.200), despite mean input length growing 1666->2157 tokens (+491, adding video title/description/official_disclosure). Adding video metadata doesn't clearly help or hurt st3 at this scale. Consistent so far with the separate data-analysis finding (see project-st3-context-rungs memory) that most st3 labels don't benefit from context beyond the transcript."
9e8946a,n/a,n/a,n/a,0.211,0.396,n/a,n/a,n/a,0.224,0.397,Qwen/Qwen3-0.6B,keep,"context-sweep 3/4: --context st2_page --st3-only, matched epochs=2, --pos-weight, split_seed=1809711824. dev st3=0.224 (epoch2, best of the sweep so far)/test=0.211 (also best test so far), mean input length ~2347 tokens (vs transcript's ~1666, no_product_page's ~2157) -- so filtering the product page down to just its ST2-bearing lines does slightly outperform both transcript-only and no_product_page, a small but consistent step up rather than flat. Still within the ~0.02-0.03 range of the other two sweep points, not a dramatic win, but the only context level so far to beat transcript-only on both dev and test simultaneously."
9e8946a,n/a,0.624,0.711,n/a,n/a,n/a,0.618,0.538,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st1/st2-focused baseline (RE-PRIORITIZED 2026-08-14: user pivoted away from st3 entirely, see feedback-st12-focus memory): --st12-only (new flag, mirror of --st3-only -- completion drops st3 entirely, {""st1"":...,""st2"":[...]} only), --context full (standing default), matched epochs=2, --pos-weight, split_seed=1378751192. st3/mean_macro_f1 columns n/a (st3 is a fixed placeholder in this mode, not meaningful; best-checkpoint selection used mean(st1,st2)_macro_f1). Best dev at epoch 2: st1=0.618/st2=0.538 (mean=0.578, up from epoch1's 0.565). Test holdout: st1=0.624/st2=0.711 -- both at or above dev, no overfitting red flag, and st2 test notably higher than dev (0.711 vs 0.538) which is a good sign though single-run noise could be part of it. First trustworthy (leakage-fixed) full-context st1/st2 baseline -- next steps: try context ablation (transcript-only etc, mirroring the st3 sweep) and without --pos-weight to see if it's helping or neutral for st1/st2 specifically."
9e8946a,n/a,0.559,0.485,n/a,n/a,n/a,0.570,0.463,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-only context ablation: --context transcript (vs full-context baseline above), matched epochs=2, --pos-weight, split_seed=230126473. dev st1=0.570/st2=0.463 (mean=0.517), test st1=0.559/st2=0.485 (mean=0.522) -- both clearly below the full-context baseline (dev mean=0.578, test mean=0.667), unlike the st3 sweep where dropping context barely moved st3_macro_f1. Makes sense: st2 (product category) plausibly depends heavily on the product page/video metadata that transcript-only discards, unlike st3's compliance flags which are mostly transcript-derived. Discarding transcript-only for st1/st2 -- keep full context as the standing recipe for this target; no further context-reduction ablation planned unless a cheaper rung (e.g. no_product_page) is worth checking for a smaller cost/accuracy tradeoff."
9e8946a,n/a,0.613,0.775,n/a,n/a,n/a,0.713,0.592,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-only WITHOUT --pos-weight (isolating its effect vs the full-context baseline above, which had --pos-weight on), --context full, matched epochs=2, split_seed=166953285. Best dev at epoch 2: st1=0.713/st2=0.592 (mean=0.652) -- clearly above the pos-weight baseline's dev mean=0.578 (+0.074, epoch1 here already beat pos-weight's epoch2). Test: st1=0.613/st2=0.775 (mean=0.694), also above the pos-weight baseline's test mean=0.667. Initially read as a real pos-weight-hurts-st1/st2 signal and provisionally adopted as the standing recipe -- but see the replicate row directly below, which did NOT reproduce this. Downgrading to discard/inconclusive: this run's strength was likely a favorable split draw, not a real pos-weight effect. Kept in the file as the noise-floor illustration for st12-only, same lesson as the st3-only era's exp5 (see superseded feedback-st3-focus)."
9e8946a,n/a,0.517,0.671,n/a,n/a,n/a,0.605,0.572,n/a,n/a,Qwen/Qwen3-0.6B,discard,"st12-only WITHOUT --pos-weight, REPLICATE of the row above on a fresh split_seed=833084525 (same recipe: --context full, matched epochs=2, no --pos-weight) -- the critical reproducibility check for the ""pos-weight hurts st1/st2"" hypothesis. Does NOT reproduce: dev mean=0.588 (vs the first no-pos-weight run's 0.652, and close to the ORIGINAL pos-weight baseline's dev=0.578); test mean=0.594, actually BELOW the pos-weight baseline's test=0.667. Conclusion: --pos-weight's effect on st1/st2 (like its effect on st3 in the earlier era, see superseded feedback-st3-focus exp6/7/8) is NOT distinguishable from the rotating-holdout noise floor (~0.07-0.15 swings between identical-recipe runs, consistent with the ~0.09-0.22 range established for the full mean_macro_f1 metric). No confident recipe change here -- reverting the standing st12-only recipe to keep --pos-weight ON (matches the rest of the codebase's default, no clear harm or benefit either way). Two single-run pos-weight-off results (0.652, 0.588 dev; 0.694, 0.594 test) bracket the one pos-weight-on result (0.578 dev, 0.667 test) rather than clearly beating it."
3764dad,0.483,0.560,0.531,0.357,0.491,0.439,0.493,0.452,0.374,0.434,Qwen/Qwen3-0.6B,keep,"row16-5epoch: post-leakage-fix re-run of row 16's recipe (--context transcript, --pos-weight, full st1/st2/st3 completion, standing hyperparams) at epochs 2->5, using the new --final-eval-only flag (added this run, uncommitted at time of run) to skip per-epoch dev generate()/evaluate() on epochs 1-4 -- only epoch 5 is scored/checkpointed. Also switched dev/test-holdout to small 100-instance subsamples (dev: seeded random 100/504 of dev.jsonl; --test-holdout 100 instead of 500) to keep the now-single eval pass cheap. Total runtime ~63min for 5 epochs + final eval on 2253 train instances, vs row 16's ~28min for 2 epochs + per-epoch eval on 1853/500/504 -- per-epoch-eval removal roughly offsets the extra epochs' training cost. IMPORTANT CONTEXT: row 16 (commit 2595582) predates the eval-leakage fix (9e8946a, see feedback-eval-leakage-bug memory) -- its dev=0.605/test=0.586 mean_macro_f1 and st3=0.608/0.549 are inflated (dev/test prompts had the gold answer embedded, model just echoed it), NOT a valid target to compare against. This row is the trustworthy post-fix measurement of the same recipe, not a replication of row 16's number. Result: test mean_macro_f1=0.483 (st1=0.560/st2=0.531/st3=0.357/st3_family=0.491), dev mean_macro_f1=0.439 (st1=0.493/st2=0.452/st3=0.374/st3_family=0.434) -- test slightly above dev (+0.044), no overfitting flag, though n=100 is a small, high-variance sample (do not treat this as precise as the standard 500/504 runs). st3 (0.357-0.374) is well above the matched-context, matched-completion-mode post-fix reference at 2 epochs (row 17, --st3-only, dev=0.201/test=0.200) -- consistent with 5 epochs helping, though row 17 trained st3 alone (all completion tokens on st3) while this row splits capacity across all three tasks, so the two are not a clean ablation of epochs alone. insufficient_context hit dev F1=1.000 (only 1-2 positives in this n=100 subsample, not a meaningful score) and is absent entirely from test's per-label breakdown (zero support in this n=100 test draw) -- both expected artifacts of shrinking holdout to 100 for a label with ~15 total positives dataset-wide, not a real result for that label. Keeping as the first trustworthy, higher-epoch-budget full-completion result on this context level; the --final-eval-only + small-subsample pattern is a reusable way to afford more epochs cheaply for future sweeps."
3764dad,n/a,0.689,0.818,n/a,n/a,n/a,0.596,0.578,n/a,n/a,Qwen/Qwen3-0.6B,keep,"st12-5epoch: standing st1/st2 baseline recipe (row 20: --st12-only, --context full, --pos-weight) at epochs 2->5, using --final-eval-only + 100-instance dev/test subsamples (same pattern as row 24 -- see project-final-eval-only-flag memory). split fresh per rotating-holdout rule (seed not pinned). st3/mean_macro_f1 columns n/a (st3 is a fixed placeholder in --st12-only mode, not meaningful; best-checkpoint selection used mean(st1,st2)_macro_f1). Total runtime ~104min (2253 train instances, 5 epochs, full context) vs row 20's ~30-40min estimate for 2 epochs on the full 1853/504/500 split with per-epoch eval -- --final-eval-only doesn't make 5 epochs of full-context training cheap, only removes the repeated per-epoch generate() cost; full-context prompts are the dominant cost either way. Result: test mean(st1,st2)=0.754 (st1=0.689/st2=0.818), dev mean(st1,st2)=0.587 (st1=0.596/st2=0.578) -- test clearly above dev (+0.167 gap, one of the largest seen in this track), no overfitting red flag but a bigger dev/test spread than most rows, plausibly n=100's higher variance rather than a real generalization gap. Compare to row 20 (matched recipe, 2 epochs, full 504 dev/500 test): test mean 0.667 (st1=0.624/st2=0.711) -> this row's test mean 0.754 (st1=0.689/st2=0.818), st1 +0.065 and st2 +0.107, both up. Dev also up: row20 dev mean=0.578 -> this row's 0.587 (+0.009, much smaller move, consistent with dev's smaller n=100 sample here vs row20's n=504 diluting the signal, or with test happening to be a favorable n=100 draw). Directionally consistent with row 24's finding (more epochs helps when per-epoch eval isn't gating epoch count) but on n=100 samples this is not yet a confirmed win to the same standard as the matched-n rows earlier in this file -- a repeat at the standard 500/504 sizes (accepting the higher per-epoch-eval-removed cost) would be needed to trust the magnitude, though the direction (more epochs help st1/st2 here) matches every other higher-epoch data point gathered so far. Keeping as the best st1/st2 test result recorded to date on this pipeline."
