commit,script,model,approach,dev_macro_f1,dev_none_f1,dev_none_precision,dev_none_recall,test_macro_f1,test_none_f1,test_none_precision,test_none_recall,status,description
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.574,0.378,n/a,n/a,0.476,0.214,n/a,n/a,discard,"NEW LEVER: --undersample-majority-st1 (added this round, complementary to --oversample-rare-st1 -- randomly drops train instances of majority-frequency st1 labels down to 1/factor of their original count instead of duplicating rare ones). Solo test, factor=2 (halve digital_content_or_services and physical_goods), --class-weight kept, --oversample-rare-st1 left at default 1 (off). Best dev checkpoint epoch5 (macro_f1=0.574, none=0.378). Test macro_f1=0.476, test none_f1=0.214 -- clearly BELOW the plain oversample=3 baseline's two replicates (test 0.559/0.553, test none 0.381/0.286) on every metric. CONCLUSION: shrinking majority-class training data hurts more than class-weighting+selective rare-oversampling helps -- the majority classes still count equally toward macro F1, so starving them of real training signal is a net loss even though it nominally rebalances the label ratio."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.518,0.316,n/a,n/a,0.521,0.222,n/a,n/a,discard,"Solo undersample-majority test, factor=3 (keep 1/3 of digital_content_or_services and physical_goods), same setup as factor=2 above. Best dev checkpoint epoch5 (macro_f1=0.518, none=0.316) -- notably worse than factor=2's dev=0.574, and the epoch curve is much noisier/slower to converge (epoch1 macro_f1=0.147 vs factor=2's 0.137, but epoch2=0.332 vs 0.537 -- less data per epoch clearly slows learning). Test macro_f1=0.521 (higher than factor=2's 0.476, but still below baseline's 0.553-0.559), test none_f1=0.222. CONCLUSION: heavier undersampling (factor=3) is worse on dev, roughly a wash with factor=2 on test (both still below baseline) -- confirms the direction (undersampling majority classes is a net negative for this classifier), consistent with the factor=2 result. Neither undersample factor is competitive with the standing oversample-only default."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.542,0.340,n/a,n/a,0.474,0.190,n/a,n/a,discard,"COMBINED-LEVER + ORDER ABLATION (undersample-first arm): --undersample-majority-st1 2 + --oversample-rare-st1 3 together, applying undersample_majority() BEFORE oversample_rare() (this script's default order when both are set -- undersample computed on original distribution, then oversample computed on the already-shrunk set). Run by a peer Claude Code session coordinating on this same repo/branch (same standing r8/a16/class-weight/full-context/test-holdout=500 recipe). Best dev checkpoint epoch3 (macro_f1=0.542, none=0.340). Test macro_f1=0.474, test none_f1=0.190 -- below the oversample-only baseline (0.553-0.559/0.286-0.381) and in the same regressed band as the solo undersample runs above. Paired with the oversample-first arm below for a clean order ablation (same factors, same split... different fresh splits actually, see caveat in that row)."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.567,0.400,n/a,n/a,0.515,0.143,n/a,n/a,discard,"COMBINED-LEVER + ORDER ABLATION (oversample-first arm): same --undersample-majority-st1 2 + --oversample-rare-st1 3, but with a NEW --oversample-first flag (added this round) reversing the order -- oversample_rare() runs first (on the original distribution, tripling none/other), THEN undersample_majority() runs on that already-oversampled set. Interaction effect confirmed in the logs: after oversampling, 'none' crosses the 5%% majority threshold and gets swept into the undersample step too, partially undoing its own oversampling (train ends at 958 instances vs the undersample-first arm's 998 -- fewer, despite nominally 'more' manipulation). Best dev checkpoint epoch4 (macro_f1=0.567, none=0.400). Test macro_f1=0.515, test none_f1=0.143. VS the undersample-first arm (dev=0.542/test=0.474, on a different fresh split -- not a perfectly controlled comparison, same rotating-test-holdout caveat as always): oversample-first wins on macro F1 both dev (+0.025) and test (+0.041), but LOSES on test none_f1 (0.143 vs 0.190) -- the macro gain comes from the majority classes recovering some ground, not from oversample-first helping the rare class it was nominally applied to first. CONCLUSION: order of combining these two levers has a real, mechanistic effect (confirmed via the threshold-crossing interaction, not just noise) but NEITHER order is competitive with the oversample-only baseline (test macro_f1 0.553-0.559) -- undersampling majority classes remains a net negative in this classifier regardless of when it's applied relative to oversampling. Standing default (--class-weight --oversample-rare-st1 3, no undersampling) is unchanged and remains the best config found."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.622,0.500,n/a,n/a,0.546,0.316,n/a,n/a,keep,"NEW LEVER, discovered via investigation (not user-requested this round -- autonomous follow-up): roberta-base's 512-token position-embedding ceiling means --context full at --max-length 512 silently truncates away the product PAGE block for most instances under HF's default right-truncation (keep start/drop end), since render_context puts TRANSCRIPT first and PAGE last. Measured: PAGE block starts after token 512 (i.e. is ENTIRELY dropped) in 234/300 (78%) of a random train sample; median full_context length is 1268 tokens vs the 512 budget. This silently undermines the --context full flag's intent for the entire encoder+MLP track -- Track 1 (generative Qwen, max-length 4096) genuinely sees the full context and confirmed it matters (feedback_st1_focus.md), but Track 2 has been running something much closer to transcript-only for most instances without anyone noticing. Added --truncation-side {left,right} flag (sets tokenizer.truncation_side before building datasets); 'left' keeps the END of the rendered text instead, preserving PAGE content at the cost of the transcript's tail. RESULT (paired same-session comparison, fresh splits, standing r8/a16/class-weight/oversample=3 recipe otherwise identical): truncation-side=left dev macro_f1=0.622 (best@epoch5, none=0.500) vs right's dev=0.543 (none=0.276) -- +0.079 macro, +0.224 none. Test: left macro_f1=0.546/none_f1=0.316 vs right's macro_f1=0.491/none_f1=0.190 -- +0.055 macro, +0.126 none. Both dev>=test (trustworthy direction), left's dev=0.622 is the best dev score seen anywhere in this classifier's history (previous best 0.598). CONCLUSION: strong, mechanistically-explained lead -- preserving the product-page content that Track 1 already confirmed matters for st1, instead of silently dropping it to truncation, looks like a genuine architecture-level fix rather than a hyperparameter nudge. NOT yet replicated -- launching a fresh-split replicate before promoting to standing default, per standing practice (every surprising result this session needed replication)."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.645,0.562,n/a,n/a,0.538,0.222,n/a,n/a,keep,"REPLICATE (fresh split) of --truncation-side left. Dev macro_f1=0.645 (best@epoch5, none=0.562) -- even higher than run 1's 0.622, confirming the effect is real and not a lucky draw; both runs' dev score (0.622, 0.645) clearly clear every other config tried in this classifier's entire history (previous best 0.598). Test macro_f1=0.538 (vs run1's 0.546, close), test none_f1=0.222 (vs run1's 0.316, some spread -- consistent with the known small-none-count test-holdout noise pattern, not a contradiction). Both replicates show strong dev>=test agreement (gaps 0.076 and 0.107). CONCLUSION: --truncation-side left REPLICATES CLEANLY and is PROMOTED to the new standing default for lora_train_st1_classifier.py, superseding the implicit right-truncation default used by every prior run this session. Mechanistic explanation (preserving the product-PAGE content that Track 1 independently confirmed is decisive for st1, instead of silently truncating it away) makes this a trustworthy, non-coincidental finding, not just a hyperparameter nudge. New standing config: --model FacebookAI/roberta-base --context full --max-length 512 --truncation-side left --lora-r 8 --lora-alpha 16 --target-modules query,value --class-weight --oversample-rare-st1 3."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.630,0.516,n/a,n/a,0.516,0.000,n/a,n/a,discard,"Re-test of the previously-discarded capacity bump (--lora-r 16 --lora-alpha 32) under the NEW --truncation-side left baseline, to check whether the earlier regression was an artifact of the truncated (page-less) context rather than a real capacity effect. Best dev checkpoint epoch5 (macro_f1=0.630, none=0.516) -- within the new baseline's dev range (0.622-0.645) but at its low end. Test macro_f1=0.516 (below baseline's 0.538-0.546) and test none_f1=0.000 (a collapse, despite dev none=0.516 looking fine) -- a real generalization failure on the rare class. CONCLUSION: capacity bump STILL underperforms r8/a16 even with the truncation fix -- the inverted-U capacity finding is independent of the truncation issue, not an artifact of it. r8/a16 remains standing."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.612,0.444,n/a,n/a,0.541,0.182,n/a,n/a,discard,"Re-test of --oversample-rare-st1 2 (previously inconclusive/didn't replicate) under the NEW --truncation-side left baseline. Best dev checkpoint epoch5 (macro_f1=0.612, none=0.444) -- below the new oversample=3 baseline's dev range (0.622-0.645). Test macro_f1=0.541 (right in the baseline's 0.538-0.546 band, essentially a match) but test none_f1=0.182 (below baseline's 0.222-0.316). CONCLUSION: oversample=2 is roughly on par with oversample=3 on test macro but not better, and worse on dev and none -- confirms oversample=3 remains the right choice, the earlier inconclusive read (before the truncation fix) wasn't hiding a real effect that only shows up with more context. Oversample factor is a fully closed question now."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.578,0.341,n/a,n/a,0.560,0.300,n/a,n/a,discard,"Follow-up to the truncation-side fix: diagnostic showed even --truncation-side left still loses PAGE's own START (product title/category, plausibly the most informative part) for 42%% of instances when PAGE alone exceeds the remaining 510-token budget. Built --page-token-budget N (new flag + ST1Dataset._encode_budgeted): reserves N tokens for PAGE specifically (kept from PAGE's start, tokenized/sliced independently) and gives the rest of the 510-token budget to the transcript+metadata prefix (kept from the prefix's end, closest to PAGE) -- guarantees both segments always get a fixed slice regardless of instance length, unlike whole-string truncation which is all-or-nothing per instance. Verified correctness via a standalone decode check (confirmed PAGE-like content -- prices, product names, payment methods -- appears at the sequence tail as intended) before running. RESULT at budget=300: dev macro_f1=0.578 (best@epoch3, none=0.341), test macro_f1=0.560/none_f1=0.300. Below the plain truncation-side=left baseline's dev range (0.622-0.645) though slightly above its test range (0.538-0.546). CONCLUSION: the fixed budget split does NOT clearly beat plain left-truncation -- likely because it forces prefix truncation on every instance regardless of need, whereas whole-string left-truncation only truncates when the instance actually exceeds 512 tokens (many don't). Test edge is within this task's established noise band, dev (the cleaner signal) is worse. Discarding budget=300 relative to the simpler, already-confirmed truncation-side=left default."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.616,0.444,n/a,n/a,0.558,0.364,n/a,n/a,discard,"Same --page-token-budget mechanism as above, budget=400 (more room for PAGE, less for prefix). Best dev epoch4 (macro_f1=0.616, none=0.444) -- closer to the plain truncation-side=left baseline's dev range (0.622-0.645) than budget=300 was, but still at/below its low end, with a notably noisier early-epoch convergence (epoch1 macro_f1=0.294, a big dip vs plain left-truncation's smoother epoch1=~0.45-0.50). Test macro_f1=0.558/none_f1=0.364 -- again slightly above the plain baseline's test range, same pattern as budget=300. CONCLUSION: increasing the page budget from 300->400 moves dev closer to (but not past) the plain-truncation baseline -- consistent with the hypothesis that the fixed-split mechanism is strictly worse than adaptive whole-string truncation for instances that don't need PAGE-specific budgeting, and the gain from including PAGE's very start (vs whatever partial PAGE tail plain left-truncation would keep) isn't enough to offset that cost. NOT pursuing further budget values -- the direction is clear enough (added complexity without a confirmed win). Standing default remains plain --truncation-side left (no --page-token-budget)."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.616,0.541,n/a,n/a,0.577,0.519,n/a,n/a,keep,"Max-length sweep (user asked to characterize how much context window is worth, before swapping in a longer-context model): --max-length 128 with --truncation-side left, everything else standing (r8/a16/class-weight/oversample=3). At this tiny budget, left-truncation keeps only the last 128 tokens -- almost entirely a tail slice of PAGE content (price/product-name lines), essentially zero transcript signal for most instances. Best dev epoch4 (macro_f1=0.616, none=0.541). Test macro_f1=0.577/none_f1=0.519 -- both the BEST test scores seen anywhere in this classifier's history, surprisingly. CONCLUSION: informative but likely partly noise given small test-holdout none counts (same caveat as everywhere else this session) -- but notable that even a minimal PAGE-tail slice carries strong signal, consistent with the truncation-side finding's premise that PAGE content matters a lot for st1. Not conclusively 'better than 512' given the established noise band, but a useful data point for the context-length-vs-performance curve."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.595,0.437,n/a,n/a,0.509,0.222,n/a,n/a,keep,"Same sweep, --max-length 256. Best dev epoch5 (macro_f1=0.595, none=0.437), test macro_f1=0.509/none_f1=0.222 -- worse than both 128 and 512 on test, non-monotonic with respect to length. CONCLUSION: the max-length-vs-performance relationship in the 128-512 range is noisy/non-monotonic on this small test-holdout, not a clean trend -- don't over-read a single sweep point. Filed as a data point for the context-length curve, not as a standalone recommendation."
new,lora_train_st1_classifier.py,nlpaueb/legal-bert-base-uncased,multiclass_st1_5way,0.518,0.279,n/a,n/a,0.466,0.214,n/a,n/a,keep,"Re-test of legal-bert-base-uncased with TWO fixes applied vs the original untuned attempt: --truncation-side left (this session's major finding) and a higher LR (5e-4 vs the original 2e-4, borrowed straight from roberta's tuned recipe -- per the original attempt's conclusion that legal-bert 'would need its own LR sweep before writing off the architecture'). Best dev checkpoint epoch2 (macro_f1=0.518, none=0.279) -- NOTE dev peaked early and degraded afterward (epoch3=0.494, epoch4=0.480 with none_f1 COLLAPSING to 0.000, epoch5=0.497 with none still 0.000) -- unlike roberta's smooth monotonic-ish climb, legal-bert at this LR overshoots and the none class destabilizes past epoch 2, suggesting 5e-4 may still be too aggressive or needs a shorter epoch cap / early stopping for this architecture. Test macro_f1=0.466 (digital=0.796, none=0.214, other=0.000, physical_goods=0.835, physical_services=0.486), test none_f1=0.214. CONCLUSION: BOTH fixes together produce a large, real improvement over the original legal-bert attempt (dev 0.394->0.518, +0.124; test 0.339->0.466, +0.127; test none_f1 0.000->0.214, no longer a total collapse) -- confirms the original conclusion that legal-bert was unfairly handicapped by untuned hyperparameters AND the truncation bug. However, legal-bert STILL clearly trails roberta-base's truncation-side=left standing default (dev 0.622-0.645, test 0.538-0.546) by a wide margin even after both fixes -- roberta-base remains the clear standing encoder choice for this track. legal-bert's early-epoch peak + late-epoch none-collapse suggests there may be more headroom with a lower LR or fewer epochs, but not pursuing further given roberta's clear lead."
new,lora_train_st1_classifier.py,FacebookAI/roberta-base,multiclass_st1_5way,0.598,0.353,n/a,n/a,0.507,0.111,n/a,n/a,discard,"lora-dropout sweep on top of the new --truncation-side left standing default (never tried this axis before): --lora-dropout 0.0 (vs standing 0.1), everything else unchanged. Best dev checkpoint epoch5 (macro_f1=0.598, none=0.353) -- below the truncation-left baseline's dev range (0.622-0.645). Test macro_f1=0.507/none_f1=0.111 -- also below baseline (0.538-0.546/0.222-0.316), and none_f1=0.111 is one of the worst test-none scores seen this session. CONCLUSION: removing LoRA dropout regularization hurts -- the standing default of 0.1 is doing real work. Testing 0.2 next to see if more regularization helps further."
